lam,rmse_global,rmse_deep_mond,rmse_transition,rmse_newtonian
0.000000,4.743896,3.851831,4.782278,7.906573
0.008475,4.749244,3.849810,4.793513,7.925794
0.016949,4.754744,3.847873,4.804923,7.945358
0.025424,4.760392,3.846021,4.816503,7.965258
0.033898,4.766185,3.844250,4.828249,7.985488
0.042373,4.772121,3.842560,4.840159,8.006041
0.050847,4.778197,3.840950,4.852227,8.026911
0.059322,4.784410,3.839418,4.864450,8.048091
0.067797,4.790757,3.837963,4.876825,8.069575
0.076271,4.797235,3.836584,4.889348,8.091358
0.084746,4.803843,3.835279,4.902017,8.113433
0.093220,4.810577,3.834048,4.914828,8.135795
0.101695,4.817436,3.832889,4.927778,8.158437
0.110169,4.824417,3.831802,4.940864,8.181354
0.118644,4.831518,3.830786,4.954084,8.204542
0.127119,4.838737,3.829839,4.967435,8.227993
0.135593,4.846072,3.828961,4.980914,8.251703
0.144068,4.853520,3.828151,4.994518,8.275668
0.152542,4.861080,3.827408,5.008246,8.299881
0.161017,4.868750,3.826731,5.022095,8.324338
0.169492,4.876528,3.826121,5.036062,8.349034
0.177966,4.884412,3.825575,5.050144,8.373965
0.186441,4.892400,3.825094,5.064340,8.399124
0.194915,4.900491,3.824677,5.078647,8.424509
0.203390,4.908682,3.824323,5.093063,8.450114
0.211864,4.916973,3.824032,5.107584,8.475935
0.220339,4.925361,3.823803,5.122209,8.501966
0.228814,4.933845,3.823636,5.136936,8.528205
0.237288,4.942423,3.823530,5.151762,8.554646
0.245763,4.951093,3.823485,5.166685,8.581285
0.254237,4.959854,3.823501,5.181702,8.608118
0.262712,4.968705,3.823577,5.196812,8.635139
0.271186,4.977644,3.823712,5.212011,8.662346
0.279661,4.986669,3.823908,5.227299,8.689734
0.288136,4.995779,3.824162,5.242672,8.717298
0.296610,5.004972,3.824476,5.258129,8.745034
0.305085,5.014247,3.824848,5.273667,8.772939
0.313559,5.023603,3.825278,5.289285,8.801007
0.322034,5.033039,3.825767,5.304981,8.829234
0.330508,5.042552,3.826314,5.320752,8.857617
0.338983,5.052141,3.826918,5.336598,8.886151
0.347458,5.061806,3.827579,5.352515,8.914832
0.355932,5.071544,3.828297,5.368502,8.943655
0.364407,5.081355,3.829073,5.384558,8.972618
0.372881,5.091237,3.829904,5.400681,9.001715
0.381356,5.101189,3.830792,5.416868,9.030942
0.389831,5.111210,3.831736,5.433119,9.060296
0.398305,5.121298,3.832735,5.449432,9.089772
0.406780,5.131451,3.833789,5.465804,9.119366
0.415254,5.141670,3.834898,5.482235,9.149075
0.423729,5.151951,3.836062,5.498722,9.178894
0.432203,5.162295,3.837279,5.515264,9.208819
0.440678,5.172698,3.838549,5.531860,9.238847
0.449153,5.183162,3.839872,5.548507,9.268974
0.457627,5.193683,3.841248,5.565205,9.299196
0.466102,5.204260,3.842675,5.581951,9.329509
0.474576,5.214892,3.844153,5.598745,9.359909
0.483051,5.225578,3.845681,5.615583,9.390394
0.491525,5.236317,3.847259,5.632465,9.420959
0.500000,5.247106,3.848886,5.649390,9.451600
